id,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
13187,45,33,65,46,29,59,38,30,46,55,64,70,35,60,30,65,75,75,95,45,81,55,44,45,42,56,56,57,57,9,12,16,12.0,11.0
5478,55,40,64,66,46,62,51,42,63,65,77,77,71,69,70,58,79,76,72,38,67,67,51,62,44,65,70,72,63,9,7,11,14.0,11.0
2362,49,71,71,67,73,71,68,57,59,74,81,79,78,72,84,79,85,50,71,66,66,18,73,60,79,69,15,21,15,12,14,14,12.0,8.0
6393,51,44,60,66,38,57,45,40,61,58,53,60,57,68,63,48,65,65,67,45,73,70,49,58,47,55,69,72,70,7,14,13,12.0,14.0
8204,48,41,54,68,45,50,41,68,66,66,56,59,59,66,73,65,61,70,66,70,60,70,51,67,42,57,60,68,61,6,8,14,7.0,6.0
8944,43,29,65,60,34,59,38,35,60,58,55,68,63,63,53,56,75,66,81,37,67,65,38,55,38,63,62,65,62,14,7,14,13.0,13.0
4370,68,64,48,69,49,72,66,40,64,69,84,86,85,61,74,66,66,77,57,65,60,43,67,65,52,64,41,38,28,7,12,9,8.0,8.0
12759,46,51,59,65,52,64,51,52,60,70,69,72,65,64,62,53,67,70,62,56,57,65,53,56,54,52,51,60,51,9,15,10,13.0,10.0
13959,31,60,58,58,49,66,51,40,40,64,64,69,66,62,65,61,67,65,69,55,37,19,62,55,52,55,18,20,16,6,7,13,7.0,8.0
5583,33,21,70,62,24,44,34,32,51,51,50,52,48,64,52,57,72,45,77,31,70,68,29,41,30,69,70,72,70,11,11,7,11.0,12.0
3593,64,68,34,75,52,77,61,47,69,75,79,55,90,71,85,50,47,64,39,59,36,39,65,74,46,69,40,35,37,10,9,11,12.0,10.0
17691,51,24,38,44,29,51,44,35,31,43,87,86,86,41,87,31,56,73,51,23,49,44,50,40,25,35,43,52,44,6,6,11,12.0,6.0
18103,45,53,44,47,60,55,54,42,38,58,71,65,65,35,71,68,49,51,51,54,39,21,55,47,57,50,15,24,22,14,15,15,14.0,14.0
1661,58,76,73,67,74,76,63,56,59,74,78,75,76,75,79,78,87,79,78,70,86,36,77,65,65,73,23,29,22,5,8,6,9.0,15.0
18008,48,42,45,62,45,50,49,46,57,53,58,69,50,49,77,52,38,43,44,31,48,25,47,58,45,53,33,44,47,12,10,8,14.0,5.0
16765,44,36,55,53,31,38,34,25,42,40,65,67,58,48,59,38,79,72,74,39,54,54,42,46,34,50,50,58,57,6,14,13,12.0,9.0
8246,58,49,66,56,53,62,60,50,45,60,94,91,79,56,54,62,94,83,71,58,76,57,60,47,50,52,51,60,65,9,6,7,7.0,13.0
1846,40,75,69,65,64,77,53,36,47,75,64,84,64,73,63,80,79,69,82,61,67,20,75,58,74,70,23,33,23,9,7,15,8.0,9.0
18237,30,56,56,37,50,46,41,35,30,44,51,53,44,50,52,53,59,49,63,48,38,15,53,43,53,46,16,15,13,7,12,7,9.0,12.0
4554,44,73,66,63,64,65,67,55,47,67,69,72,70,72,72,72,71,73,66,67,50,48,73,66,64,69,21,40,32,15,7,11,10.0,12.0
9798,35,38,64,56,29,48,28,28,56,52,50,53,41,63,58,45,63,69,78,26,72,64,32,29,41,65,65,66,64,14,13,9,10.0,9.0
9700,64,65,41,46,57,78,55,50,53,70,71,74,84,48,82,55,49,66,49,55,36,65,62,63,49,70,28,42,42,13,14,14,7.0,12.0
14906,47,59,61,55,54,57,52,43,43,62,62,55,52,59,53,62,76,78,80,57,66,42,61,58,63,63,45,44,39,14,10,13,15.0,8.0
6328,65,55,48,61,46,75,78,67,55,70,84,84,81,53,69,64,66,71,57,55,57,34,56,62,48,61,35,43,38,6,5,8,7.0,8.0
2652,72,65,60,73,44,78,80,73,65,74,74,76,78,68,79,72,68,66,56,69,72,52,72,73,59,75,49,59,47,16,6,14,9.0,10.0
1211,68,73,62,76,64,80,62,65,65,83,81,79,81,76,85,85,76,64,64,74,55,23,74,68,57,57,38,37,34,11,5,13,7.0,12.0
5587,35,68,71,60,70,61,42,42,35,64,56,72,54,71,57,80,82,60,88,65,79,22,70,45,56,78,23,23,22,14,10,13,15.0,10.0
8501,63,70,59,64,60,68,63,68,58,68,83,78,84,65,81,66,73,68,59,67,62,27,63,63,60,64,34,39,36,11,6,8,11.0,10.0
11385,48,53,49,67,60,64,56,50,63,65,70,71,79,62,75,70,61,76,62,65,48,58,60,62,52,61,56,64,57,14,6,15,7.0,12.0
9876,31,65,71,58,59,62,56,51,37,65,47,63,57,66,38,66,80,70,87,67,55,25,64,41,63,64,24,26,24,14,13,12,12.0,11.0
10463,46,30,70,60,29,37,29,28,55,52,50,50,52,60,52,50,68,62,70,39,64,65,26,35,33,62,65,67,63,13,12,11,5.0,8.0
13231,62,43,48,52,37,60,56,41,43,58,78,77,79,57,73,60,65,72,60,48,59,55,54,52,44,52,55,57,56,5,5,5,6.0,15.0
11621,64,50,60,60,40,61,52,46,62,63,81,79,68,60,68,65,76,77,63,54,55,55,58,56,36,60,53,55,52,15,9,7,13.0,9.0
16383,54,50,41,54,39,64,42,40,49,57,76,75,75,48,65,53,49,52,47,44,33,20,46,49,49,52,22,24,21,10,9,10,14.0,11.0
4569,21,39,65,68,25,60,21,21,69,68,52,63,23,52,37,40,75,58,85,21,72,70,48,51,32,71,61,75,73,14,9,12,11.0,7.0
6583,64,23,63,72,33,64,41,46,67,71,68,68,72,63,74,38,73,63,71,43,68,68,45,61,31,67,64,68,66,9,6,9,14.0,8.0
7281,35,27,71,60,30,40,38,20,55,51,50,50,37,58,36,59,81,69,90,31,71,70,49,47,39,63,60,67,64,10,13,15,15.0,6.0
372,58,37,75,77,47,72,37,34,74,75,79,92,59,78,49,48,88,73,84,51,79,78,48,55,39,82,80,82,81,7,13,13,11.0,7.0
11626,62,34,49,54,26,63,45,38,50,60,80,73,78,55,81,42,68,80,50,36,53,64,51,46,35,50,54,59,56,11,11,14,7.0,14.0
1497,32,29,80,57,33,41,38,34,50,53,66,66,50,72,53,53,86,74,81,22,81,74,27,40,45,78,77,75,77,14,7,14,9.0,13.0
11594,61,57,41,63,56,63,63,58,63,66,80,82,77,61,74,68,61,76,61,59,64,63,63,65,50,67,61,61,60,16,7,13,7.0,12.0
16849,40,51,31,48,38,64,37,31,45,65,83,81,86,45,83,40,45,48,44,32,41,21,49,49,41,58,20,22,20,10,11,6,11.0,10.0
16270,49,55,39,54,45,60,54,47,46,56,81,77,80,52,73,65,59,54,59,57,44,23,55,51,49,53,22,30,28,6,13,13,11.0,10.0
13391,46,53,60,63,48,61,55,50,58,65,68,72,65,59,68,65,78,74,81,63,64,59,57,56,48,62,53,58,53,9,14,10,13.0,11.0
15911,55,50,43,57,54,65,58,41,52,62,74,72,80,48,63,51,58,46,62,39,33,23,54,54,52,45,46,31,26,5,13,5,15.0,15.0
4516,71,55,66,70,56,66,63,49,66,67,67,68,64,67,70,72,74,59,71,63,74,68,55,54,61,65,65,70,70,11,10,11,14.0,12.0
18644,15,10,15,24,7,11,13,16,21,17,32,29,30,40,28,40,56,16,70,9,25,13,13,26,13,32,12,20,16,46,55,53,43.0,50.0
7166,60,59,38,66,39,76,40,38,62,73,83,80,77,61,92,58,50,60,41,48,31,29,62,60,47,52,22,21,25,9,8,11,11.0,13.0
2356,68,74,59,72,66,72,79,80,69,76,77,75,79,69,81,74,73,71,67,72,58,41,74,70,75,74,36,36,29,13,15,12,7.0,12.0
2840,64,42,72,68,36,68,48,59,65,70,71,77,66,68,63,58,84,66,78,44,71,74,46,55,50,71,72,72,70,10,15,10,14.0,6.0
251,84,78,42,89,79,87,85,82,79,89,79,54,90,88,90,79,51,77,49,83,44,85,79,85,54,87,79,78,77,12,6,8,11.0,8.0
2325,54,60,57,71,59,64,59,53,72,71,58,59,71,71,54,78,70,89,78,72,76,75,64,73,41,80,70,71,69,12,13,16,16.0,8.0
9835,40,36,63,68,41,51,44,41,67,65,61,70,60,62,54,46,69,65,68,41,60,66,36,56,39,48,64,65,63,7,7,14,12.0,6.0
11616,54,66,64,58,63,58,58,56,53,63,54,52,54,64,57,65,72,67,76,59,69,33,69,60,66,65,37,35,34,13,13,9,13.0,12.0
5596,31,71,68,56,65,53,56,34,36,64,75,78,55,67,41,75,86,65,87,54,75,23,70,49,67,65,21,22,15,7,15,9,7.0,6.0
15639,11,8,12,24,10,12,12,11,20,20,18,17,22,41,38,45,36,24,41,9,25,7,5,21,19,30,6,11,12,60,61,60,58.0,60.0
4820,67,70,39,68,66,71,62,56,62,71,76,76,80,64,74,70,58,69,57,68,48,42,69,68,60,66,45,39,32,8,7,10,7.0,11.0
14531,39,33,58,52,25,47,33,23,43,50,61,61,63,56,61,54,70,68,75,42,68,58,36,39,46,59,61,59,58,14,10,14,15.0,14.0
14017,57,62,34,56,54,62,46,39,49,61,90,89,75,48,67,51,63,62,61,47,34,25,55,52,47,47,23,28,24,15,9,12,14.0,10.0
17072,53,32,42,43,35,56,39,30,41,59,63,60,69,60,69,31,49,54,58,35,52,56,52,43,32,38,48,56,53,8,7,9,8.0,14.0
11887,55,64,71,59,57,59,42,38,54,63,50,49,58,63,41,72,81,69,86,58,76,49,65,53,65,59,34,37,36,15,12,8,16.0,8.0
166,51,36,80,83,25,67,41,39,79,79,57,76,61,84,61,37,80,73,78,20,75,86,32,62,36,79,86,86,84,10,12,8,6.0,8.0
7766,56,63,38,53,47,38,61,56,73,69,68,66,80,42,71,91,68,39,78,72,41,52,30,62,66,66,65,9,8,13,5,6,,
13441,33,25,61,51,35,42,35,31,43,50,55,55,65,60,64,48,66,54,69,25,57,63,26,39,41,55,63,65,62,7,8,15,10.0,8.0
13000,53,51,41,63,44,74,40,42,60,66,85,77,76,53,82,46,48,49,36,42,44,26,48,63,48,51,34,36,47,13,12,12,9.0,8.0
8462,14,15,20,30,16,11,12,12,23,23,49,42,33,57,37,44,64,42,61,14,17,18,11,27,22,23,18,12,16,67,69,58,63.0,70.0
1701,63,75,67,79,76,74,80,65,75,81,63,66,69,72,68,81,71,57,70,76,74,72,76,77,61,75,68,72,71,7,12,8,10.0,14.0
4761,56,55,63,77,40,68,59,63,75,73,60,63,66,68,57,62,67,59,64,56,54,67,40,65,50,64,68,67,69,6,9,15,9.0,7.0
3704,63,35,57,70,38,70,44,31,62,70,80,84,78,67,77,50,74,85,68,37,74,59,58,64,44,53,64,67,69,9,7,6,9.0,6.0
3600,70,62,57,77,55,75,73,68,70,74,70,66,76,71,75,74,68,79,65,61,76,65,63,73,60,66,62,64,60,11,12,8,12.0,13.0
1881,65,60,64,79,58,72,63,52,73,77,54,63,62,69,77,74,70,79,75,71,80,74,69,69,63,78,70,73,68,12,16,11,8.0,9.0
17035,29,21,48,44,32,31,29,35,31,44,62,66,59,51,60,40,58,51,66,24,56,55,28,24,34,41,55,58,59,11,10,5,8.0,10.0
7106,68,59,57,66,58,69,67,70,66,69,81,81,83,55,79,68,71,62,58,60,58,50,64,65,52,67,37,41,40,14,12,8,11.0,6.0
9587,30,22,70,54,29,32,22,31,40,53,56,64,52,60,50,45,77,62,81,25,68,62,21,26,42,60,66,66,65,12,12,12,7.0,5.0
8779,53,69,57,62,63,68,59,38,52,67,85,80,83,63,77,63,74,66,61,60,47,25,63,57,56,62,25,25,21,5,12,7,13.0,14.0
2348,59,72,65,71,80,73,78,59,70,76,74,75,74,75,74,77,78,80,75,74,79,38,75,74,68,73,50,40,53,13,12,13,7.0,15.0
4280,62,50,48,66,55,67,60,48,63,65,86,90,90,66,74,60,69,84,62,56,76,64,60,52,55,60,60,71,69,13,16,8,7.0,13.0
12975,57,42,40,55,28,56,43,31,41,53,77,75,77,47,63,37,62,72,69,35,58,62,55,47,31,54,63,66,63,6,9,5,6.0,5.0
8475,53,32,50,52,32,61,45,54,48,62,81,85,83,62,63,30,67,75,57,42,66,62,52,35,46,63,65,66,65,7,14,13,8.0,6.0
5784,56,72,72,64,67,64,55,55,55,67,54,53,60,67,63,76,80,55,84,62,76,33,72,68,69,72,32,19,23,10,7,13,10.0,12.0
15414,12,6,11,25,9,10,13,11,22,11,47,48,47,50,47,43,59,18,61,6,13,7,4,32,15,53,8,8,12,66,55,57,57.0,65.0
439,78,73,62,82,71,84,82,79,82,84,72,69,80,80,80,80,73,72,69,74,82,70,75,84,65,82,64,73,68,10,7,10,15.0,14.0
13839,59,38,66,60,52,51,45,50,62,52,60,60,51,61,54,64,75,72,76,50,74,61,61,55,58,56,52,59,62,6,13,9,9.0,15.0
13905,61,56,46,58,44,54,51,41,54,56,76,76,71,54,81,57,50,72,41,55,54,53,62,58,38,59,48,61,57,11,6,8,10.0,15.0
14093,54,58,39,60,40,65,44,36,48,63,78,76,78,57,70,57,47,54,44,51,28,22,58,51,49,48,21,21,23,7,7,14,9.0,10.0
15830,44,48,56,63,47,62,49,41,62,66,61,53,65,61,66,61,61,64,59,48,65,52,52,53,50,47,51,58,55,15,9,13,5.0,14.0
2658,11,5,11,45,7,12,14,12,51,20,49,45,54,65,42,56,57,16,50,5,16,9,8,60,15,38,16,12,11,74,72,74,69.0,76.0
16798,55,52,46,53,42,59,43,38,49,55,75,70,58,48,78,53,52,56,47,45,38,25,52,52,47,55,37,37,34,8,7,11,11.0,9.0
8071,49,56,46,70,38,67,52,56,67,71,72,62,59,67,63,68,60,69,57,67,59,65,65,65,51,63,60,64,59,6,5,8,9.0,7.0
15978,10,7,13,19,7,5,10,11,27,18,18,20,36,56,39,41,45,17,42,9,20,12,7,37,15,28,5,13,10,58,60,55,56.0,60.0
1485,75,70,59,77,61,80,73,66,67,79,68,65,73,72,80,68,64,58,56,72,60,43,75,77,65,77,47,49,44,8,14,9,13.0,7.0
15089,54,53,35,55,48,62,54,49,47,60,79,76,76,56,72,55,50,69,49,51,33,22,57,55,57,52,32,28,33,7,5,12,12.0,11.0
12939,13,6,8,22,5,10,12,11,20,15,34,27,31,47,34,45,49,19,52,8,25,7,7,22,16,21,5,15,10,64,64,60,67.0,62.0
13264,60,38,51,64,35,59,63,64,62,58,67,72,70,55,67,61,52,62,47,51,61,53,47,56,62,48,55,61,60,12,13,6,8.0,11.0
10466,49,45,56,65,48,57,54,46,61,65,56,53,58,60,66,60,69,73,76,56,64,64,55,58,45,64,65,63,60,7,10,10,11.0,5.0
17998,36,54,59,57,40,55,34,30,55,56,62,65,59,49,57,48,65,59,63,49,53,21,55,57,55,52,22,38,32,9,12,6,11.0,5.0
1817,61,31,75,72,42,58,38,31,60,65,62,72,60,70,58,70,80,70,78,30,80,75,33,42,55,60,74,75,72,11,8,7,12.0,7.0
9768,55,35,54,68,41,61,53,35,57,64,65,68,71,61,74,45,59,70,56,32,68,55,35,43,40,54,62,68,64,14,10,9,7.0,10.0
4713,74,45,52,71,34,69,64,62,68,73,75,73,71,65,72,64,68,79,67,58,68,64,65,63,35,59,60,68,69,8,7,11,10.0,12.0
5655,61,62,56,62,69,73,63,65,54,70,82,86,85,67,79,71,73,71,61,65,29,12,64,65,56,59,40,14,13,6,6,10,15.0,6.0
17240,14,6,14,25,8,8,11,13,40,20,50,48,29,50,43,42,50,28,47,9,29,8,5,30,18,33,5,15,14,57,55,56,54.0,56.0
13109,62,39,46,61,49,56,61,52,66,60,69,68,61,59,68,55,56,73,56,50,60,59,46,53,44,59,51,58,57,7,12,9,7.0,13.0
7950,57,66,58,62,53,70,53,37,40,66,94,95,88,68,77,63,76,70,59,61,58,33,69,52,52,55,33,37,37,9,7,8,8.0,12.0
13420,58,69,59,55,50,67,45,36,36,64,63,66,59,60,60,67,70,65,71,57,26,50,61,55,48,55,44,48,44,7,5,13,11.0,8.0
5534,64,59,49,63,57,66,65,45,58,62,82,85,84,68,80,69,70,79,68,55,65,66,64,60,43,64,66,64,59,14,12,13,13.0,10.0
11851,61,51,49,61,60,68,59,43,57,67,75,70,73,66,68,63,50,60,42,50,40,22,59,65,58,64,28,31,34,13,12,11,7.0,11.0
8465,65,65,55,62,65,68,68,59,57,68,75,73,70,64,67,70,74,58,72,66,55,41,63,66,60,68,50,51,43,14,15,8,9.0,14.0
3308,70,72,61,71,67,74,74,69,69,73,78,81,84,67,72,74,79,79,73,73,54,37,72,74,70,71,30,33,33,13,12,12,8.0,7.0
5637,59,70,74,71,68,68,69,56,69,70,53,67,68,72,69,74,72,76,69,72,54,61,74,69,64,73,50,61,48,15,15,8,15.0,7.0
16619,59,51,39,45,42,63,44,35,39,62,87,83,58,41,76,57,54,65,48,48,33,21,48,50,46,52,23,31,23,5,8,12,6.0,9.0
9564,62,28,60,65,25,51,40,31,46,64,65,63,60,68,61,26,65,72,59,21,51,65,40,32,33,50,64,59,60,10,14,14,9.0,9.0
